#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-179.0,688,2272.589948
-100.0,1613,2279.856257
-195.0,542,2282.677619
-179.0,700,2284.909877
-181.0,699,2287.155935
-186.0,688,2290.547316
-181.0,676,2292.693115
-190.0,688,2294.896372
-171.0,698,2298.346282
-167.0,740,2300.762296
-168.0,740,2303.197143
-137.0,1201,2309.05638
-170.0,698,2311.284576
-178.0,688,2314.680531
-186.0,677,2316.827795
-178.0,687,2319.011145
-191.0,689,2322.402389
-185.0,742,2324.818234
-130.0,1414,2332.164295
-178.0,687,2334.428536
-190.0,689,2336.629642
-179.0,698,2340.082587
-177.0,698,2342.339278
-169.0,741,2345.951245
-156.0,844,2348.807184
-168.0,740,2351.220394
-177.0,743,2354.857569
-181.0,676,2357.003015
-159.0,855,2359.917827
-179.0,687,2363.339725
-157.0,844,2366.202207
-175.0,698,2368.432859
-159.0,844,2372.468431
-178.0,687,2374.653693
-169.0,698,2378.07709
-173.0,741,2380.493139
-180.0,676,2382.627822
-167.0,740,2386.235737
-184.0,677,2388.382998
-187.0,677,2390.529015
-181.0,676,2394.20207
-175.0,687,2396.392979
-177.0,698,2398.641059
-181.0,676,2401.999638
-180.0,676,2404.158522
-171.0,699,2406.402639
-175.0,687,2409.792296
-172.0,687,2411.978837
-173.0,699,2414.213234
-176.0,687,2417.603493
-135.0,1202,2422.252581
-200.0,855,2426.590932
-176.0,687,2428.780484
-176.0,687,2449.023654
-187.0,677,2454.426914
-168.0,932,2457.685182
-177.0,687,2459.885012
-180.0,676,2463.237114
-184.0,677,2465.365822
-173.0,698,2467.589538
-179.0,676,2470.932986
-172.0,687,2473.11323
-186.0,677,2475.244706
-182.0,676,2478.594547
-184.0,677,2480.751924
-166.0,740,2483.223881
-198.0,542,2486.090755
-172.0,687,2488.278155
-229.0,542,2489.901473
-181.0,689,2493.308434
-178.0,687,2495.495133
-174.0,740,2497.887993
-173.0,687,2501.277872
-168.0,740,2503.678479
-170.0,698,2505.912406
-178.0,687,2509.302341
-185.0,676,2511.55531
-183.0,741,2514.201701
-171.0,699,2517.642961
-182.0,676,2519.773372
-176.0,688,2521.9531
-176.0,687,2525.350275
-100.0,1602,2533.597906
-185.0,689,2535.797725
-179.0,676,2537.937984
-179.0,676,2541.296515
-184.0,677,2543.453104
-113.0,1412,2550.469571
-175.0,698,2552.699395
-186.0,690,2554.892497
-168.0,740,2558.494606
-173.0,687,2560.668399
-179.0,676,2562.809617
-182.0,676,2566.154215
-165.0,740,2568.542719
-183.0,688,2570.730104
-174.0,687,2574.48022
-182.0,688,2576.733946
-182.0,676,2578.899962
-210.0,687,2582.301686
-193.0,541,2583.931657
-175.0,687,2586.120028
-183.0,701,2589.565167
-171.0,741,2591.964705
-179.0,676,2594.106199
-182.0,688,2597.496609
-177.0,687,2599.685672
-167.0,845,2602.587836
-184.0,677,2605.953274
-176.0,742,2608.392868
-175.0,740,2610.800886
-191.0,541,2613.631995
-182.0,676,2615.771242
-175.0,699,2618.016738
-136.0,1201,2623.860806
-182.0,688,2626.046337
-179.0,676,2629.408163
-178.0,687,2631.834398
-177.0,687,2634.14293
-175.0,687,2637.535673
-177.0,687,2639.719728
-184.0,677,2641.862224
-178.0,688,2645.257728
-179.0,676,2647.396523
-171.0,687,2649.582779
-185.0,676,2652.929158
-177.0,687,2655.124354
-183.0,700,2657.359226
-184.0,677,2660.737363
-179.0,676,2681.32205
-173.0,687,2685.15222
-172.0,740,2688.754271
-182.0,688,2690.943406
-155.0,941,2694.58389
-172.0,687,2697.959606
-183.0,689,2700.155545
-184.0,699,2702.399514
-189.0,678,2705.753234
-179.0,676,2707.894989
-179.0,676,2710.038051
-179.0,676,2713.385971
-181.0,689,2715.593551
-197.0,679,2717.743754
-184.0,677,2721.094973
-176.0,698,2723.368968
-234.0,543,2725.002425
-177.0,687,2728.392851
-174.0,698,2730.626128
-179.0,676,2732.772928
-176.0,687,2736.163653
-179.0,676,2738.302465
-184.0,677,2740.446916
-184.0,676,2743.799312
-192.0,678,2745.959553
-191.0,690,2748.163709
-177.0,687,2751.677988
-184.0,677,2754.034283
-187.0,742,2756.457179
-182.0,676,2759.806509
-179.0,676,2761.946779
-192.0,541,2763.574273
-179.0,676,2766.937027
-182.0,676,2769.086137
-175.0,698,2771.311715
-204.0,681,2774.687725
-174.0,698,2776.922074
-184.0,742,2779.338807
-168.0,740,2782.965899
-182.0,676,2785.102779
-179.0,676,2787.241201
-176.0,687,2790.646427
-158.0,844,2793.502913
-182.0,688,2795.691456
-178.0,699,2799.133392
-153.0,855,2802.046872
-179.0,676,2805.400925
-182.0,741,2807.820684
-182.0,676,2809.962425
-175.0,698,2813.782069
-182.0,676,2815.968101
-179.0,676,2818.107256
-180.0,676,2821.461783
-179.0,676,2823.605422
-179.0,676,2825.740837
-177.0,687,2829.137588
-182.0,676,2831.297684
-180.0,699,2833.532367
-179.0,676,2836.891834
-189.0,678,2839.043135
-179.0,676,2841.193916
-179.0,676,2844.556436
-177.0,687,2846.752019
-179.0,676,2848.889762
-170.0,845,2853.060742
-173.0,698,2855.296154
-192.0,690,2857.4966
-187.0,677,2860.862181
-177.0,688,2863.057518
-179.0,676,2865.201402
-177.0,687,2868.609609
-179.0,741,2871.041371
-182.0,688,2873.476387
-181.0,688,2877.003734
-184.0,677,2879.173248
-182.0,676,2881.317896
-192.0,541,2898.590038
-190.0,678,2902.214207
-182.0,676,2904.352514
-175.0,687,2907.741753
-182.0,676,2909.882334
-181.0,699,2912.131586
-189.0,678,2915.495259
-177.0,699,2917.721069
-164.0,844,2920.570651
-179.0,676,2923.91267
-177.0,687,2926.120285
-197.0,542,2927.745997
-189.0,678,2931.351069
-184.0,677,2933.604178
-189.0,678,2935.76909
-182.0,688,2939.174695
-189.0,678,2941.338506
-177.0,687,2943.524345
-179.0,687,2946.933536
-173.0,740,2949.33885
-175.0,687,2951.517338
-179.0,676,2954.884745
-177.0,687,2957.076744
-189.0,678,2959.234269
-179.0,676,2962.640136
-173.0,698,2964.875024
-181.0,688,2967.072609
-225.0,541,2969.925128
-179.0,676,2972.066091
-172.0,687,2974.250907
-168.0,740,2977.868145
-178.0,740,2980.28256
-182.0,676,2982.421745
-165.0,834,2986.444498
-197.0,855,2989.355566
-179.0,676,2991.638002
-186.0,689,2995.265544
-169.0,698,2997.504194
